symbol,phase,horizon,n_events,hit_rate,mean_ret,p_val,cohen_d,mae_avg,mfe_avg,ratio_mfe_mae,variation
WDO$,IS,100,116,0.5689655172413793,0.0020381550014274444,0.14742074468269298,0.17228585214401615,0.009842610814953993,0.012789028858494807,1.2993531695585403,A
WDO$,IS,200,115,0.6086956521739131,0.0056534858695029624,0.004410387319437308,0.32597403535004577,0.013376394569172473,0.01983647607185189,1.4829462816999415,A
WDO$,IS,5,115,0.4434782608695652,-0.00010102923896604552,0.7599273063498302,-0.023642578340531795,0.0025009722599626345,0.0027256623253484654,1.0898406508309442,B
WDO$,IS,10,115,0.5130434782608696,0.0005389936976613123,0.22891453635918066,0.12704815928199867,0.0033070143020407622,0.003944093807009639,1.1926445591514907,B
WDO$,IS,20,115,0.5217391304347826,0.0008196556892863515,0.1818468691755457,0.14058281591345478,0.004652784951452315,0.00560008893344296,1.2035990892069632,B
WDO$,IS,50,115,0.5130434782608696,0.0017928544213430906,0.0783753966402307,0.19580502157514043,0.006807772251875485,0.009293798160431762,1.3651744581638934,B
WDO$,IS,100,115,0.5652173913043478,0.0019177606613749736,0.17476291381534606,0.164219266079061,0.009820407782849346,0.012740125921099117,1.2973111611554147,B
WDO$,IS,200,114,0.6052631578947368,0.0054189474293323,0.0063588187290698405,0.3145831960125636,0.013384994876735489,0.019619980864648005,1.4658189696382027,B
WDO$,IS,5,115,0.4434782608695652,-0.00010102923896604552,0.7599273063498302,-0.023642578340531795,0.0025009722599626345,0.0027256623253484654,1.0898406508309442,C
WDO$,IS,10,115,0.5130434782608696,0.0005389936976613123,0.22891453635918066,0.12704815928199867,0.0033070143020407622,0.003944093807009639,1.1926445591514907,C
WDO$,IS,20,115,0.5217391304347826,0.0008196556892863515,0.1818468691755457,0.14058281591345478,0.004652784951452315,0.00560008893344296,1.2035990892069632,C
WDO$,IS,50,115,0.5130434782608696,0.0017928544213430906,0.0783753966402307,0.19580502157514043,0.006807772251875485,0.009293798160431762,1.3651744581638934,C
WDO$,IS,100,115,0.5652173913043478,0.0019177606613749736,0.17476291381534606,0.164219266079061,0.009820407782849346,0.012740125921099117,1.2973111611554147,C
WDO$,IS,200,114,0.6052631578947368,0.0054189474293323,0.0063588187290698405,0.3145831960125636,0.013384994876735489,0.019619980864648005,1.4658189696382027,C
DI1$,IS,5,56,0.42857142857142855,0.000204660322559689,0.7208621079405004,0.018137659343386577,0.0029174293446616434,0.0032045046551381655,1.09839971363903,A
DI1$,IS,10,56,0.44642857142857145,0.000316381049953063,0.6099101633542343,0.010049437164594822,0.0037054693905192344,0.004082046106908355,1.1016269668090244,A
DI1$,IS,20,56,0.5178571428571429,0.0007206296045741646,0.4043953634107905,0.02482169535458625,0.004930380928450813,0.005243435757217102,1.0634948434643186,A
DI1$,IS,50,56,0.5,-0.0005964280775295119,0.7504832691933256,-0.13876156039411655,0.009573518749010594,0.009325208647282446,0.9740627158831724,A
DI1$,IS,100,56,0.48214285714285715,-0.0019248773738711103,0.4964521826510896,-0.22146055343800713,0.01459875676656626,0.012662780927178516,0.8673875633568308,A
DI1$,IS,200,56,0.44642857142857145,-0.0017242542048867464,0.6593983545118862,-0.21350733225028493,0.020346200490881126,0.017823458905616756,0.8760091613958003,A
DI1$,IS,5,56,0.42857142857142855,0.0002046407317939222,0.720888116164418,0.018132968392904895,0.002902190340997128,0.003196872092795397,1.1015373272035962,B
DI1$,IS,10,56,0.44642857142857145,0.0003300987653532302,0.5940393468636888,0.012391186378312193,0.003705508572050768,0.004095803003840056,1.1053278703509826,B
DI1$,IS,20,56,0.5178571428571429,0.0007663714305376828,0.3724406998687646,0.030364935338846346,0.00491521506364516,0.005257192654148804,1.0695750880684645,B
DI1$,IS,50,56,0.5,-0.0005507620025269561,0.7685148474467347,-0.13543528520966286,0.009558428635165905,0.009338965544214147,0.977039733582979,B
DI1$,IS,100,56,0.48214285714285715,-0.0019479461535871162,0.4915254572273561,-0.2225918691813656,0.014583773748907763,0.012676537824110216,0.8692219978959571,B
DI1$,IS,200,56,0.42857142857142855,-0.0019074735765936888,0.6255787998576207,-0.21915414966767402,0.02033121747322263,0.01783889512298999,0.8774139703670407,B
DI1$,IS,5,56,0.42857142857142855,0.0002046407317939222,0.720888116164418,0.018132968392904895,0.002902190340997128,0.003196872092795397,1.1015373272035962,C
DI1$,IS,10,56,0.44642857142857145,0.0003300987653532302,0.5940393468636888,0.012391186378312193,0.003705508572050768,0.004095803003840056,1.1053278703509826,C
DI1$,IS,20,56,0.5178571428571429,0.0007663714305376828,0.3724406998687646,0.030364935338846346,0.00491521506364516,0.005257192654148804,1.0695750880684645,C
DI1$,IS,50,56,0.5,-0.0005507620025269561,0.7685148474467347,-0.13543528520966286,0.009558428635165905,0.009338965544214147,0.977039733582979,C
DI1$,IS,100,56,0.48214285714285715,-0.0019479461535871162,0.4915254572273561,-0.2225918691813656,0.014583773748907763,0.012676537824110216,0.8692219978959571,C
DI1$,IS,200,56,0.42857142857142855,-0.0019074735765936888,0.6255787998576207,-0.21915414966767402,0.02033121747322263,0.01783889512298999,0.8774139703670407,C
